dataset,split,example_idx,setup_id,batch_idx,annotator_id,status,start
logicnlg,test,156,gpt4-direct-2shotcot,0,,free,
logicnlg,test,376,gpt4-direct-2shotcot,0,,free,
logicnlg,test,418,gpt4-direct-2shotcot,0,,free,
logicnlg,test,408,gpt4-direct-2shotcot,0,,free,
logicnlg,test,212,gpt4-direct-2shotcot,0,,free,
logicnlg,test,318,gpt4-direct-2shotcot,0,,free,
logicnlg,test,72,gpt4-direct-2shotcot,0,,free,
logicnlg,test,387,gpt4-direct-2shotcot,0,,free,
logicnlg,test,92,gpt4-direct-2shotcot,0,,free,
logicnlg,test,233,gpt4-direct-2shotcot,0,,free,
logicnlg,test,380,gpt4-direct-2shotcot,1,,free,
logicnlg,test,419,gpt4-direct-2shotcot,1,,free,
logicnlg,test,372,gpt4-direct-2shotcot,1,,free,
logicnlg,test,254,gpt4-direct-2shotcot,1,,free,
logicnlg,test,400,gpt4-direct-2shotcot,1,,free,
logicnlg,test,74,gpt4-direct-2shotcot,1,,free,
logicnlg,test,96,gpt4-direct-2shotcot,1,,free,
logicnlg,test,381,gpt4-direct-2shotcot,1,,free,
logicnlg,test,158,gpt4-direct-2shotcot,1,,free,
logicnlg,test,177,gpt4-direct-2shotcot,1,,free,
logicnlg,test,245,gpt4-direct-2shotcot,2,,free,
logicnlg,test,45,gpt4-direct-2shotcot,2,,free,
logicnlg,test,7,gpt4-direct-2shotcot,2,,free,
logicnlg,test,268,gpt4-direct-2shotcot,2,,free,
logicnlg,test,223,gpt4-direct-2shotcot,2,,free,
logicnlg,test,163,gpt4-direct-2shotcot,2,,free,
logicnlg,test,333,gpt4-direct-2shotcot,2,,free,
logicnlg,test,120,gpt4-direct-2shotcot,2,,free,
logicnlg,test,127,gpt4-direct-2shotcot,2,,free,
logicnlg,test,251,gpt4-direct-2shotcot,2,,free,
logicnlg,test,109,gpt4-direct-2shotcot,3,,free,
logicnlg,test,41,gpt4-direct-2shotcot,3,,free,
